Id;Label;Greek;Nature;Longitude;Latitude;Source;Target;Port-commodity;Source-a;Target-a;Type;port-port;;;Source-b;Target-b;Port-commodity group;Source-d;Target-d;Commodity groups;Id;Label
;;;;;;1002;2010;;;;;;;;1002;2118;;2108;2124;;;
;;;;;;1002;2011;;;;;;;;1002;2119;;2109;2124;;;
;;;;;;1002;2012;;;;;;;;1002;2118;;2110;2114;;;
;;;;;;1002;2013;;;;;;;;1002;2117;;;;;;
;;;;;;1002;2014;;;;;;;;1002;2117;;;;;;
;;;;;;1002;2015;;;;;;;;1002;2117;;;;;;
;;;;;;1002;2016;;;;;;;;1002;2119;;;;;;
;;;;;;1002;2017;;;;;;;;1002;2127;;;;;;
;;;;;;1002;2018;;;;;;;;1002;2119;;;;;;
;;;;;;1002;2019;;;;;;;;1002;2119;;;;;;
;;;;;;1002;2020;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2030;;;;;;;;1002;2030;;;;;;
;;;;;;1002;2031;;;;;;;;1002;2126;;;;;;
;;;;;;1002;2029;;;;;;;;1002;2123;;;;;;
;;;;;;1002;2033;;;;;;;;1002;2118;;;;;;
;;;;;;1002;2036;;;;;;;;1002;2121;;;;;;
;;;;;;1002;2037;;;;;;;;1002;2121;;;;;;
;;;;;;1002;2038;;;;;;;;1002;2121;;;;;;
;;;;;;1002;2059;;;;;;;;1002;2113;;;;;;
;;;;;;1002;2060;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2061;;;;;;;;1002;2128;;;;;;
;;;;;;1002;2062;;;;;;;;1002;2128;;;;;;
;;;;;;1002;2063;;;;;;;;1002;2113;;;;;;
;;;;;;1002;2064;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2065;;;;;;;;1002;2128;;;;;;
;;;;;;1002;2066;;;;;;;;1002;2129;;;;;;
;;;;;;1002;2067;;;;;;;;1002;2129;;;;;;
;;;;;;1002;2068;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2069;;;;;;;;1002;2119;;;;;;
;;;;;;1002;2070;;;;;;;;1002;2070;;;;;;
;;;;;;1002;2071;;;;;;;;1002;2118;;;;;;
;;;;;;1002;2072;;;;;;;;1002;2072;;;;;;
;;;;;;1002;2073;;;;;;;;1002;2073;;;;;;
;;;;;;1002;2082;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2083;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2084;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2085;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2086;;;;;;;;1002;2116;;;;;;
;;;;;;2001;1002;;;;;;;;2001;1002;;;;;;
;;;;;;2002;1002;;;;;;;;2002;1002;;;;;;
;;;;;;2025;1002;;;;;;;;2114;1002;;;;;;
;;;;;;2026;1002;;;;;;;;2112;1002;;;;;;
;;;;;;2035;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2039;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2040;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2041;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2042;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2043;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2044;1002;;;;;;;;2044;1002;;;;;;
;;;;;;2045;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2046;1002;;;;;;;;2118;1002;;;;;;
;;;;;;2047;1002;;;;;;;;2123;1002;;;;;;
;;;;;;2048;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2049;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2050;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2051;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2052;1002;;;;;;;;2121;1002;;;;;;
;;;;;;2063;1002;;;;;;;;2113;1002;;;;;;
;;;;;;2081;1002;;;;;;;;2122;1002;;;;;;
;;;;;;2087;1002;;;;;;;;2122;1002;;;;;;
;;;;;;2088;1002;;;;;;;;2122;1002;;;;;;
;;;;;;2089;1002;;;;;;;;2122;1002;;;;;;
;;;;;;2090;1002;;;;;;;;2124;1002;;;;;;
;;;;;;2091;1002;;;;;;;;2124;1002;;;;;;
;;;;;;2092;1002;;;;;;;;2115;1002;;;;;;
;;;;;;2093;1002;;;;;;;;2115;1002;;;;;;
;;;;;;2094;1002;;;;;;;;2115;1002;;;;;;
;;;;;;2095;1002;;;;;;;;2120;1002;;;;;;
;;;;;;2096;1002;;;;;;;;2124;1002;;;;;;
;;;;;;2097;1002;;;;;;;;2124;1002;;;;;;
;;;;;;1002;2098;;;;;;;;1002;2118;;;;;;
;;;;;;1002;2024;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2099;;;;;;;;1002;2123;;;;;;
;;;;;;1002;2100;;;;;;;;1002;2116;;;;;;
;;;;;;1002;2101;;;;;;;;1002;2130;;;;;;
;;;;;;1002;2102;;;;;;;;1002;2130;;;;;;
;;;;;;2103;1002;;;;;;;;2122;1002;;;;;;
;;;;;;2028;1002;;;;;;;;2028;1002;;;;;;
;;;;;;2079;1002;;;;;;;;2079;1002;;;;;;
;;;;;;1002;2004;;;;;;;;1002;2111;;;;;;
;;;;;;1002;2032;;;;;;;;1002;2032;;;;;;
;;;;;;1002;2104;;;;;;;;;;;;;;;
;;;;;;2108;1002;;;;;;;;;;;;;;;
;;;;;;2107;1002;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1003;Ptolemais Theron;;Emporion;37.45;18.41;1003;2001;;;;3;;;;1003;2001;;;;;;
;;;;;;1003;2002;;;;;;;;1003;2002;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1004;Koloe;;Polis;39.25;14.54;1004;2002;;;;;;;;1004;2002;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1005;Aksum;;Metropolis;38.43;14.08;1005;2002;;;E;4;;;;1005;2002;;;;;;
;;;;;;1005;2028;;;;;;;;1005;2028;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1006;Adulis;;Emporion;39.41;15.16;1006;2002;;;E;4;;;;1006;2002;;;;;;
;;;;;;2003;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2004;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2005;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2006;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2007;1006;;;;;;;;2111;1006;;;;;;
;;;;;;2008;1006;;;;;;;;2131;1006;;;;;;
;;;;;;2009;1006;;;;;;;;2116;1006;;;;;;
;;;;;;2010;1006;;;;;;;;2118;1006;;;;;;
